,_del_t,_dir_mu,_dir_sigma,_len_mu_norm,_len_sigma_norm,_significance
2015-09-16 07:15:55.970,3.77,-94.9870904284,18.7484970497,1.59058077582,0.420517757021,0.591991038925
2015-09-16 07:15:59.740,3.77,-93.7437287509,10.159254221,1.2155335525,0.355501295085,0.307958477509
2015-09-16 07:16:03.510,3.94,-94.6604959865,14.9520857442,1.2842960164,0.347606391471,0.547382550336
2015-09-16 07:16:07.450,3.93,-90.3051557536,16.7127909596,1.2461749652,0.362300235807,0.507219251337
2015-09-16 07:16:11.380,4.03,-91.453382444,14.2050513134,1.21762722952,0.402980525204,0.418540035362
2015-09-16 07:16:15.410,3.93,-95.5562192232,12.8492792332,1.03806927611,0.394338778867,0.456857855362
2015-09-16 07:16:19.340,4.03,-91.1888520931,16.5686469972,1.37417215863,0.303058411288,0.687606112054
2015-09-16 07:16:23.370,4.02,-93.3193360884,14.7478950553,1.1979253731,0.278630986143,0.463458919655
2015-09-16 07:16:27.390,4.02,-89.2290864011,17.2027739637,1.2889997283,0.38298632375,0.659565217391
2015-09-16 07:16:31.410,6.03,-86.3664779191,7.63147144891,1.32689167611,0.23076947451,0.655706806283
2015-09-16 07:16:37.440,3.94,-93.3663234341,12.6224493656,1.37892822324,0.38080460529,0.401263501121
2015-09-16 07:16:41.380,4.02,-86.9885214565,15.8006318499,1.16938061975,0.344749825511,0.463064833006
2015-09-16 07:16:45.400,3.94,-92.6745638481,23.4363159645,1.07484577876,0.331837271676,0.538056206089
2015-09-16 07:16:49.340,4.02,-90.0195000718,24.7126512255,1.31692874491,0.35036876427,0.727985879584
2015-09-16 07:16:53.360,4.02,-92.9566929603,15.5088364336,1.16628402501,0.269687472291,0.485070199723
2015-09-16 07:16:57.380,4.02,-98.7515574523,20.524602618,1.19179967624,0.33137246744,0.637330754352
2015-09-16 07:17:01.400,3.94,-94.0035968404,25.3406780612,1.21182838672,0.314607505266,0.609425682122
2015-09-16 07:17:05.340,4.02,-94.9580625953,22.4471217742,1.11522425467,0.306773956735,0.540115163148
2015-09-16 07:17:09.360,4.02,-92.9268895285,14.7384879522,1.32797962397,0.31968458968,0.515256855929
2015-09-16 07:17:13.380,6.2,-91.3530445597,11.2176693685,1.17006025007,0.268333361995,0.779791747011
2015-09-16 07:17:19.580,3.94,-80.5709960336,18.5813396729,1.27685905108,0.352666129921,0.623511033001
2015-09-16 07:17:23.520,3.85,-92.6170477767,22.100663488,1.2298019211,0.349932367151,0.714927706135
2015-09-16 07:17:27.370,4.11,-91.8592425353,17.7639737294,1.12246109621,0.410689982765,0.509765625
2015-09-16 07:17:31.480,4.02,-97.6944571889,15.4056574686,1.16656751775,0.353403441348,0.5556640625
2015-09-16 07:17:35.500,3.93,-93.2232312393,21.6420467216,1.15285417202,0.403080823767,0.41857753595
2015-09-16 07:17:39.430,3.94,-83.3694881404,31.3043459627,1.02991259038,0.349619394632,0.53060829136
2015-09-16 07:17:43.370,4.11,-81.055760713,14.6132151521,1.32806364927,0.372876390053,0.463555726957
2015-09-16 07:17:47.480,4.1,-94.2701714797,16.2940532647,1.20185479885,0.306407911022,0.616509524726
2015-09-16 07:17:51.580,4.02,-89.7056922961,19.5183296597,1.17885829204,0.322091935286,0.680154142582
2015-09-16 07:17:55.600,6.12,-92.4403885117,18.7061306945,1.20741939233,0.269619467991,0.857198367981
2015-09-16 07:18:01.720,3.94,-90.4261768221,22.4837457993,1.14500316872,0.41155582152,0.53224857871
2015-09-16 07:18:05.660,4.02,-97.5584311598,19.4838328063,0.994115919616,0.317795952754,0.488463813843
2015-09-16 07:18:09.680,3.94,-86.5677038826,15.2539674366,1.155207968,0.394400364251,0.442246835443
2015-09-16 07:18:13.620,4.1,-94.7256092006,15.2451058478,1.10823119559,0.363504130666,0.370958143226
2015-09-16 07:18:17.720,4.02,-89.185556906,15.4002226598,1.21563572196,0.324911116368,0.561058074781
2015-09-16 07:18:21.740,4.02,-92.0210532033,11.6739934651,1.1531903376,0.352654468954,0.356033452808
2015-09-16 07:18:25.760,3.94,-85.8811056793,18.9822163629,1.16713422204,0.367464601691,0.414434226309
2015-09-16 07:18:29.700,3.94,-96.3218587388,17.4961731614,1.25302493875,0.327035467032,0.532648125756
2015-09-16 07:18:33.640,3.85,-91.4375728809,17.9165161057,1.21480074796,0.324421052809,0.440733197556
2015-09-16 07:18:37.490,5.87,-94.1365443129,10.2378571923,1.24184455742,0.273079340056,0.653822377911
