,_dir_mu,_dir_sigma,_len_mu_norm,_len_sigma_norm,_del_t,_pyrlevel,_significance,_fit_success
2015-09-16 07:18:33.640,-67.9716881955,7.8608818744,0.801683406057,0.204561675786,3.85,1,0.192131398014,1
2015-09-16 07:18:37.490,-57.2827922013,13.1690372566,1.14733633742,0.237512854969,5.87,1,0.711738484398,1
2015-09-16 07:18:43.360,-71.0456338474,12.1527537386,0.888701653025,0.274407856244,4.02,1,0.501655020228,1
2015-09-16 07:18:47.380,-61.8701620107,14.5301053282,1.07193244863,0.258106570259,4.02,1,0.66524822695,1
2015-09-16 07:18:51.400,-52.9373770008,13.1138708164,0.982409819209,0.293558962605,3.94,1,0.612880143113,1
2015-09-16 07:18:55.340,-63.6085035201,10.386453731,1.03464590699,0.285706749535,4.02,1,0.64002987304,1
2015-09-16 07:18:59.360,-48.4638348838,8.76984868126,1.07687247652,0.335969362788,4.02,1,0.500190041809,1
2015-09-16 07:19:03.380,-62.2389212752,11.3219960842,1.12832253077,0.425197737668,4.02,1,0.591283863369,1
2015-09-16 07:19:07.400,-53.1332442384,11.0890511577,1.07212883688,0.278195800764,4.02,1,0.590476190476,1
2015-09-16 07:19:11.420,-59.4056648221,12.3242580772,1.05435503789,0.322380187619,3.94,1,0.646844660194,1
2015-09-16 07:19:15.360,-46.2398872414,10.4590733284,1.00894896586,0.271963990974,4.02,1,0.633971291866,1
2015-09-16 07:19:19.380,-56.1702976429,8.86858206696,1.09480578701,0.212687724316,5.61,1,0.516413130504,1
2015-09-16 07:19:24.990,-51.7129801986,9.33658866095,1.07192686876,0.225875239563,4.36,1,0.545810493344,1
2015-09-16 07:19:29.350,-40.0014268952,16.2527145283,1.09472743521,0.255575165887,4.02,1,0.70751138088,1
2015-09-16 07:19:33.370,-40.0414138727,17.2233841502,1.00602922524,0.283037009862,4.02,1,0.642242990654,1
2015-09-16 07:19:37.390,-36.9073801059,22.9375488193,1.12974484562,0.289294439056,4.02,1,0.658153958409,1
2015-09-16 07:19:41.410,-37.4518445734,18.5794336965,1.07118641406,0.244302629564,3.94,1,0.691019244476,1
2015-09-16 07:19:45.350,-36.1283688221,21.757632849,1.07158257032,0.253814025514,4.11,1,0.64064098193,1
2015-09-16 07:19:49.460,-42.3094171929,9.10407465743,1.06275004798,0.260922561386,4.02,1,0.452197249245,1
2015-09-16 07:19:53.480,-39.2885143903,23.9794654201,0.915609956045,0.331762177725,3.52,1,0.438572871087,1
2015-09-16 07:19:57.000,-45.494703993,7.77886800965,0.892293567453,0.249729097425,4.44,1,0.314524207012,1
2015-09-16 07:20:01.440,-67.7059249085,10.1510177386,0.893236572848,0.198097884222,5.94,1,0.276046901173,1
2015-09-16 07:20:07.380,-34.57714654,17.0330027762,1.10458464068,0.436302925855,4.11,1,0.58637709773,1
2015-09-16 07:20:11.490,-40.140177953,17.059874416,0.899688598572,0.334302076495,4.02,1,0.539222148978,1
2015-09-16 07:20:15.510,-51.8970909176,18.5938836378,0.783295484905,0.230413135294,3.94,1,0.498851329176,1
2015-09-16 07:20:19.450,-42.6348129648,14.3896309667,0.818231057181,0.290320753808,4.02,1,0.371372676883,1
2015-09-16 07:20:23.470,-45.4418053362,17.5662922143,0.823584778809,0.287775403808,4.02,1,0.467109634551,1
2015-09-16 07:20:27.490,-49.2620831883,14.939996717,0.762303151184,0.244391748253,3.94,1,0.552145099407,1
2015-09-16 07:20:31.430,-55.9681692609,12.3173114911,0.805288055097,0.293563736436,3.94,1,0.48388252149,1
2015-09-16 07:20:35.370,-48.8214932567,17.923303409,0.813840252797,0.28623354879,4.02,1,0.540287769784,1
2015-09-16 07:20:39.390,-40.5760619805,16.3137047019,0.81010190107,0.243360745107,4.02,1,0.46409238542,1
2015-09-16 07:20:43.410,-43.5264114219,14.1238529561,0.860196527423,0.193835280401,6.2,1,0.513446567587,1
2015-09-16 07:20:49.610,-50.4157121716,14.8575318622,0.872160152494,0.270385170386,3.94,1,0.420375521558,1
2015-09-16 07:20:53.550,-50.2559283085,17.2441786621,0.8068412407,0.280779712113,3.93,1,0.434662998624,1
2015-09-16 07:20:57.480,-47.5192173702,10.2821498291,0.985307835821,0.360082606833,4.02,1,0.220233998624,1
2015-09-16 07:21:01.500,-62.9326658759,12.1431160412,0.814030668044,0.336265767378,3.94,1,0.238061549346,1
2015-09-16 07:21:05.440,-60.4053344668,14.5831747749,0.874096609907,0.300484342146,3.94,1,0.448097524935,1
